id,type,name,price,currency,url,color,width,depth,height,styles,roomTypes,shop,image
bed-001,bed,Cadru pat ABILDRO 90x200 negru,2350,MDL,https://jysk.md/ro/product/cadru-pat-abildro-90x200-negru-65369,#2A2A2A,0.9,2,0.5,"minimalist,scandinavian",bedroom,jysk,https://jysk.md/frontend/web/uploads/product/УТ00117313/117623.jpg
bed-002,bed,Cadru pat OLSKER 90x200 alb,2750,MDL,https://jysk.md/ro/product/cadru-pat-olsker-90x200-alb-471420,#F5F0E8,0.9,2,0.5,"minimalist,scandinavian",bedroom,jysk,https://jysk.md/frontend/web/uploads/product/УТ00389115/262846.jpg
bed-003,bed,Cadru pat LIMFJORDEN 90x200 2 sertare stejar,3500,MDL,https://jysk.md/ro/product/cadru-pat-limfjorden-90x200-2-sertare-stejar-381836,#8B6914,0.9,2,0.5,"minimalist,scandinavian",bedroom,jysk,https://jysk.md/frontend/web/uploads/product/УТ00308963/236115.jpg
bed-004,bed,Cadru pat LIMFJORDEN 90x200 2 seratre alb,3500,MDL,https://jysk.md/ro/product/cadru-pat-limfjorden-90x200-2-seratre-alb-381837,#F5F0E8,0.9,2,0.5,"minimalist,scandinavian",bedroom,jysk,https://jysk.md/frontend/web/uploads/product/УТ00308964/236127.jpg
bed-005,bed,Cadru pat VEDDE 90x200 stejar sălbatic,3999,MDL,https://jysk.md/ro/product/cadru-pat-vedde-90x200-stejar-s-lbatic-172543,#8B6914,0.9,2,0.5,"minimalist,scandinavian",bedroom,jysk,https://jysk.md/frontend/web/uploads/product/УТ00195322/97044.jpg
bed-006,bed,Cadru pat KONGSBERG 90x200 bej,4999,MDL,https://jysk.md/ro/product/cadru-pat-kongsberg-90x200-bej-264429,#D4B896,0.9,2,0.5,"minimalist,scandinavian",bedroom,jysk,https://jysk.md/frontend/web/uploads/product/УТ00218200/214392.jpg
bed-007,bed,Cadru pat VEMMELEV 90x200 bej,5000,MDL,https://jysk.md/ro/product/cadru-pat-vemmelev-90x200-bej-471298,#D4B896,0.9,2,0.5,"minimalist,scandinavian",bedroom,jysk,https://jysk.md/frontend/web/uploads/product/УТ00388989/262861.jpg
bed-008,bed,Cadru pat HASLEV 90x200 gri închis,5500,MDL,https://jysk.md/ro/product/cadru-pat-haslev-90x200-gri-nchis-327934,#888888,0.9,2,0.5,"minimalist,scandinavian",bedroom,jysk,https://jysk.md/frontend/web/uploads/product/УТ00257949/222862.jpg
bed-009,bed,VEDDE Cadru pat 140x200+2 Noptiere,5000,MDL,https://jysk.md/ro/product/vedde-cadru-pat-140x200-2-noptiere-465695,#A0917A,1.4,2,0.5,"minimalist,scandinavian",bedroom,jysk,https://jysk.md/frontend/web/uploads/product/УТ00383579/258107.jpg
bed-010,bed,Tăblie pat GREJS 90x48 bej,950,MDL,https://jysk.md/ro/product/t-blie-pat-grejs-90x48-bej-479608,#D4B896,0.9,0.48,0.5,"minimalist,scandinavian",bedroom,jysk,https://jysk.md/frontend/web/uploads/product/УТ00396697/262812.jpg
bed-011,bed,Tăblie pat GREJS 150x48 bej,1250,MDL,https://jysk.md/ro/product/t-blie-pat-grejs-150x48-bej-479609,#D4B896,1.5,0.48,0.5,"minimalist,scandinavian",bedroom,jysk,https://jysk.md/frontend/web/uploads/product/УТ00396698/262807.jpg
bed-012,bed,Cadru pat BILLUND 90x200 depozitare travertin/bej,2750,MDL,https://jysk.md/ro/product/cadru-pat-billund-90x200-depozitare-travertin-bej-471427,#D4B896,0.9,2,0.5,"minimalist,scandinavian",bedroom,jysk,https://jysk.md/frontend/web/uploads/product/УТ00389121/262894 1.jpg
bed-013,bed,Cadru pat KILDEN 180x200 gri închis,2000,MDL,https://jysk.md/ro/product/cadru-pat-kilden-180x200-gri-nchis-323566,#888888,1.8,2,0.5,"minimalist,scandinavian",bedroom,jysk,https://jysk.md/frontend/web/uploads/product/УТ00255997/185266.jpg
bed-014,bed,Cadru pat ELLINGE 140x200 depozit. stejar,3850,MDL,https://jysk.md/ro/product/cadru-pat-ellinge-140x200-depozit-stejar-381830,#8B6914,1.4,2,0.5,"minimalist,scandinavian",bedroom,jysk,https://jysk.md/frontend/web/uploads/product/УТ00308958/236088.jpg
bed-015,bed,Cadru pat ELLINGE 160x200 depozit. stejar,4350,MDL,https://jysk.md/ro/product/cadru-pat-ellinge-160x200-depozit-stejar-381831,#8B6914,1.6,2,0.5,"minimalist,scandinavian",bedroom,jysk,https://jysk.md/frontend/web/uploads/product/УТ00308959/236088.jpg
bed-016,bed,Cadru pat ELLINGE 180x200 depozit. stejar,4850,MDL,https://jysk.md/ro/product/cadru-pat-ellinge-180x200-depozit-stejar-381833,#8B6914,1.8,2,0.5,"minimalist,scandinavian",bedroom,jysk,https://jysk.md/frontend/web/uploads/product/УТ00308960/236088.jpg
bed-017,bed,Cadru pat STUBBERUP 90x200 stejar natur,4499,MDL,https://jysk.md/ro/product/cadru-pat-stubberup-90x200-stejar-natur-471424,#8B6914,0.9,2,0.5,"minimalist,scandinavian",bedroom,jysk,https://jysk.md/frontend/web/uploads/product/УТ00389119/262882.jpg
bed-018,bed,Cadru pat STUBBERUP 140x200 stejar,5999,MDL,https://jysk.md/ro/product/cadru-pat-stubberup-140x200-stejar-381844,#8B6914,1.4,2,0.5,"minimalist,scandinavian",bedroom,jysk,https://jysk.md/frontend/web/uploads/product/УТ00308971/236146.jpg
